2026/05/06 18:42:25.841, 22537, 10
2026/05/06 18:42:27.846, 22537, 0
2026/05/06 18:42:29.846, 22537, 0
2026/05/06 18:42:31.846, 22537, 0
2026/05/06 18:42:33.847, 22537, 0
2026/05/06 18:42:35.847, 22537, 0
2026/05/06 18:42:37.847, 22575, 100
2026/05/06 18:42:39.848, 22575, 100
2026/05/06 18:42:41.848, 22623, 100
2026/05/06 18:42:43.849, 22623, 100
2026/05/06 18:42:45.849, 22623, 100
2026/05/06 18:42:47.849, 22623, 100
2026/05/06 18:42:49.850, 22623, 100
2026/05/06 18:42:51.850, 22623, 100
2026/05/06 18:42:53.851, 22623, 100
